priority,domain,proxy_domain,category,subcategory,reason
498,mortgageinterestcalculator.co.uk,mortgageinterestcalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
499,onlinemortgagecalculator.co.uk,onlinemortgagecalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
500,onlinepricecomparison.co.uk,onlinepricecomparison.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
501,paymentscalculator.co.uk,paymentscalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
502,plasticbenches.co.uk,plasticbenches.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
503,plasticdecking.co.uk,plasticdecking.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
504,progresscheck.co.uk,progresscheck.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
505,progresschecker.co.uk,progresschecker.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
506,ratecomparison.co.uk,ratecomparison.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
507,yieldcalculator.co.uk,yieldcalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
508,chicklet.co.uk,chicklet.com,brandable-short,pronounceable,block brandable-short/pronounceable n=38 appraised=10 deficit=0
509,flubbert.co.uk,flubbert.com,brandable-short,pronounceable,block brandable-short/pronounceable n=38 appraised=10 deficit=0
510,istep.co.uk,istep.com,brandable-short,pronounceable,block brandable-short/pronounceable n=38 appraised=10 deficit=0
511,oxenunity.co.uk,oxenunity.com,brandable-short,pronounceable,block brandable-short/pronounceable n=38 appraised=10 deficit=0
512,quido.co.uk,quido.com,brandable-short,pronounceable,block brandable-short/pronounceable n=38 appraised=10 deficit=0
513,audiocamera.co.uk,audiocamera.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
514,audiocameras.co.uk,audiocameras.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
515,cctvsecuritysystems.co.uk,cctvsecuritysystems.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
516,securitycameras.co.uk,securitycameras.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
517,spyingequipment.co.uk,spyingequipment.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
518,tabletcomputers.co.uk,tabletcomputers.com,consumer-products,electronics,block consumer-products/electronics n=35 appraised=4 deficit=0
519,autumnfashions.co.uk,autumnfashions.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
520,aviatorjacket.co.uk,aviatorjacket.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
521,blackskirts.co.uk,blackskirts.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
522,boatrepairs.co.uk,boatrepairs.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
523,botmaintenance.co.uk,botmaintenance.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
524,classicshoes.co.uk,classicshoes.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
525,clothingclearance.co.uk,clothingclearance.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
526,delivery-driver-job.co.uk,delivery-driver-job.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
527,delivery-driver-jobs.co.uk,delivery-driver-jobs.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
528,digitalnomadjobs.co.uk,digitalnomadjobs.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
529,donkeyjackets.co.uk,donkeyjackets.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
530,exteriorbuildingcleaning.co.uk,exteriorbuildingcleaning.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
531,fingerlessgloves.co.uk,fingerlessgloves.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
532,fivergigs.co.uk,fivergigs.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
533,grab-hire.co.uk,grab-hire.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
534,industrialboilerrepairs.co.uk,industrialboilerrepairs.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
535,internetjobs.co.uk,internetjobs.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
536,led-hire.co.uk,led-hire.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
537,maintenanceagent.co.uk,maintenanceagent.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
538,maintenanceagents.co.uk,maintenanceagents.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
539,mensjumpers.co.uk,mensjumpers.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
540,nojob.co.uk,nojob.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
541,outdoorfashions.co.uk,outdoorfashions.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
542,personalstyle.co.uk,personalstyle.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
543,robotmaintenance.co.uk,robotmaintenance.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
544,screen-hire.co.uk,screen-hire.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
545,shirts-online.co.uk,shirts-online.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
546,suspenderbelt.co.uk,suspenderbelt.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
547,sweeper-hire.co.uk,sweeper-hire.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
548,tech-jobs.co.uk,tech-jobs.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
549,tempemployment.co.uk,tempemployment.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
550,temporaryhelp.co.uk,temporaryhelp.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
551,utilitybag.co.uk,utilitybag.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
552,webclothes.co.uk,webclothes.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
553,websitemaintenance.co.uk,websitemaintenance.com,home-garden,services,block home-garden/services n=33 appraised=11 deficit=0
554,weekend-job.co.uk,weekend-job.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
555,whichjob.co.uk,whichjob.com,business-services,jobs-hire,block business-services/jobs-hire n=33 appraised=7 deficit=0
556,womensjumpers.co.uk,womensjumpers.com,consumer-products,clothing-fashion,block consumer-products/clothing-fashion n=33 appraised=5 deficit=0
557,banquetteseating.co.uk,banquetteseating.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
558,bathroomcabinet.co.uk,bathroomcabinet.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
559,contractseating.co.uk,contractseating.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
560,creamsofas.co.uk,creamsofas.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
561,fitted-wardrobes.co.uk,fitted-wardrobes.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
562,leatherupholstery.co.uk,leatherupholstery.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
563,onlineofficefurniture.co.uk,onlineofficefurniture.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
564,pinechairs.co.uk,pinechairs.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
565,pinewardrobes.co.uk,pinewardrobes.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
566,plasticflowers.co.uk,plasticflowers.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
567,reading-lamps.co.uk,reading-lamps.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
568,wallunits.co.uk,wallunits.com,home-garden,furnishings,block home-garden/furnishings n=32 appraised=12 deficit=0
569,cheapheaters.co.uk,cheapheaters.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
570,gardenheating.co.uk,gardenheating.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
571,gas-stoves.co.uk,gas-stoves.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
572,heatingpanels.co.uk,heatingpanels.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
573,infrared-heaters.co.uk,infrared-heaters.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
574,pelletburners.co.uk,pelletburners.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
575,plumbingdirectory.co.uk,plumbingdirectory.com,home-garden,heating-plumbing,block home-garden/heating-plumbing n=30 appraised=12 deficit=0
576,cargocontainers.co.uk,cargocontainers.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
577,containertrader.co.uk,containertrader.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
578,industrytools.co.uk,industrytools.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
579,modularbuildinghire.co.uk,modularbuildinghire.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
580,modularcabins.co.uk,modularcabins.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
581,modularoffices.co.uk,modularoffices.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
582,naturalrefrigerants.co.uk,naturalrefrigerants.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
583,offshorecontainers.co.uk,offshorecontainers.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
584,water-treatment.co.uk,water-treatment.com,industrial-equipment,general,block industrial-equipment/general n=25 appraised=8 deficit=0
585,extension-plans.co.uk,extension-plans.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
586,kitchenbin.co.uk,kitchenbin.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
587,kitchenbins.co.uk,kitchenbins.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
588,mortgageextension.co.uk,mortgageextension.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
589,mortgageextensions.co.uk,mortgageextensions.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
590,onlinekitchenshop.co.uk,onlinekitchenshop.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
591,printedsplashbacks.co.uk,printedsplashbacks.com,home-garden,kitchens-extensions,block home-garden/kitchens-extensions n=23 appraised=7 deficit=0
592,electricalgoods.co.uk,electricalgoods.com,consumer-products,appliances,block consumer-products/appliances n=22 appraised=11 deficit=0
593,toptengadgets.co.uk,toptengadgets.com,consumer-products,appliances,block consumer-products/appliances n=22 appraised=11 deficit=0
594,alternativeenergy.co.uk,alternativeenergy.com,home-garden,energy,block home-garden/energy n=21 appraised=10 deficit=0
595,chargerpoint.co.uk,chargerpoint.com,home-garden,energy,block home-garden/energy n=21 appraised=10 deficit=0
596,solarpanelling.co.uk,solarpanelling.com,home-garden,energy,block home-garden/energy n=21 appraised=10 deficit=0
597,cementbags.co.uk,cementbags.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
598,cementmix.co.uk,cementmix.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
599,gasmembranes.co.uk,gasmembranes.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
600,headwalls.co.uk,headwalls.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
601,industrialceramics.co.uk,industrialceramics.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
602,intumescentcoatings.co.uk,intumescentcoatings.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
603,manhole-cover.co.uk,manhole-cover.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
604,plastic-sheet.co.uk,plastic-sheet.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
605,plasticblocks.co.uk,plasticblocks.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
606,precast-concrete.co.uk,precast-concrete.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
607,reclaimed-bricks.co.uk,reclaimed-bricks.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
608,saltsuppliers.co.uk,saltsuppliers.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
609,sheetmaterial.co.uk,sheetmaterial.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
610,structuralinsulatedpanels.co.uk,structuralinsulatedpanels.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
611,timberjoists.co.uk,timberjoists.com,industrial-equipment,materials,block industrial-equipment/materials n=20 appraised=3 deficit=0
612,boysbicycles.co.uk,boysbicycles.com,sports-leisure,cycling,block sports-leisure/cycling n=19 appraised=7 deficit=0
613,menscycles.co.uk,menscycles.com,sports-leisure,cycling,block sports-leisure/cycling n=19 appraised=7 deficit=0
614,dingos.co.uk,dingos.com,generic-word,general,block generic-word/general n=18 appraised=6 deficit=0
615,enablers.co.uk,enablers.com,generic-word,general,block generic-word/general n=18 appraised=6 deficit=0
616,girly.co.uk,girly.com,generic-word,general,block generic-word/general n=18 appraised=6 deficit=0
617,repurpose.co.uk,repurpose.com,generic-word,general,block generic-word/general n=18 appraised=6 deficit=0
618,splendent.co.uk,splendent.com,generic-word,general,block generic-word/general n=18 appraised=6 deficit=0
619,antiquesdealers.co.uk,antiquesdealers.com,consumer-products,retail,block consumer-products/retail n=17 appraised=8 deficit=0
620,cyber-week.co.uk,cyber-week.com,consumer-products,retail,block consumer-products/retail n=17 appraised=8 deficit=0
621,droppedkerbs.co.uk,droppedkerbs.com,home-garden,driveways-ground,block home-garden/driveways-ground n=17 appraised=3 deficit=0
622,flat-for-rent.co.uk,flat-for-rent.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
623,furnishedflats.co.uk,furnishedflats.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
624,holybibles.co.uk,holybibles.com,consumer-products,retail,block consumer-products/retail n=17 appraised=8 deficit=0
625,longtermrentals.co.uk,longtermrentals.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
626,meat-shop.co.uk,meat-shop.com,consumer-products,retail,block consumer-products/retail n=17 appraised=8 deficit=0
627,monthlyrental.co.uk,monthlyrental.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
628,privaterentals.co.uk,privaterentals.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
629,rentalaccommodation.co.uk,rentalaccommodation.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
630,resin-surfaces.co.uk,resin-surfaces.com,home-garden,driveways-ground,block home-garden/driveways-ground n=17 appraised=3 deficit=0
631,resinbondedsurfaces.co.uk,resinbondedsurfaces.com,home-garden,driveways-ground,block home-garden/driveways-ground n=17 appraised=3 deficit=0
632,roomfinder.co.uk,roomfinder.com,property,rentals,block property/rentals n=17 appraised=5 deficit=0
633,winterjackets.co.uk,winterjackets.com,consumer-products,retail,block consumer-products/retail n=17 appraised=8 deficit=0
634,camperbeds.co.uk,camperbeds.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
635,caravantowing.co.uk,caravantowing.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
636,countrycaravans.co.uk,countrycaravans.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
637,offgridcampervans.co.uk,offgridcampervans.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
638,tourercaravans.co.uk,tourercaravans.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
639,usedcamper.co.uk,usedcamper.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
640,vancampers.co.uk,vancampers.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
641,webuycampervans.co.uk,webuycampervans.com,automotive,leisure-vehicles,block automotive/leisure-vehicles n=15 appraised=3 deficit=0
642,freshwaterpearls.co.uk,freshwaterpearls.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
643,intelligencetest.co.uk,intelligencetest.com,education,general,block education/general n=14 appraised=4 deficit=0
644,ladieswatches.me.uk,ladieswatches.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
645,lifelearning.co.uk,lifelearning.com,education,general,block education/general n=14 appraised=4 deficit=0
646,mens-watch.co.uk,mens-watch.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
647,menswatches.me.uk,menswatches.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
648,movingstorage.co.uk,movingstorage.com,transport-parking,logistics,block transport-parking/logistics n=14 appraised=3 deficit=0
649,packagedeliveries.co.uk,packagedeliveries.com,transport-parking,logistics,block transport-parking/logistics n=14 appraised=3 deficit=0
650,recycledgold.co.uk,recycledgold.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
651,silverrings.co.uk,silverrings.com,consumer-products,jewellery-watches,block consumer-products/jewellery-watches n=14 appraised=3 deficit=0
652,vancouriers.co.uk,vancouriers.com,transport-parking,logistics,block transport-parking/logistics n=14 appraised=3 deficit=0
653,drumliners.co.uk,drumliners.com,packaging-print,packaging,block packaging-print/packaging n=13 appraised=3 deficit=0
654,foodbin.co.uk,foodbin.com,consumer-products,household,block consumer-products/household n=13 appraised=3 deficit=0
655,paper-cups.co.uk,paper-cups.com,packaging-print,packaging,block packaging-print/packaging n=13 appraised=3 deficit=0
656,woodenhanger.co.uk,woodenhanger.com,consumer-products,household,block consumer-products/household n=13 appraised=3 deficit=0
657,foldingmachine.co.uk,foldingmachine.com,industrial-equipment,machinery,block industrial-equipment/machinery n=12 appraised=4 deficit=0
658,printfinishingequipment.co.uk,printfinishingequipment.com,industrial-equipment,machinery,block industrial-equipment/machinery n=12 appraised=4 deficit=0
659,vending-machine.co.uk,vending-machine.com,industrial-equipment,machinery,block industrial-equipment/machinery n=12 appraised=4 deficit=0
660,pansets.co.uk,pansets.com,consumer-products,kitchenware,block consumer-products/kitchenware n=11 appraised=5 deficit=0
661,reusablecups.co.uk,reusablecups.com,consumer-products,kitchenware,block consumer-products/kitchenware n=11 appraised=5 deficit=0
662,jointaccount.co.uk,jointaccount.com,business-services,accounting,block business-services/accounting n=9 appraised=3 deficit=0
663,medicam.co.uk,medicam.com,health-medical,equipment,block health-medical/equipment n=9 appraised=3 deficit=0
664,officesupplies.co.uk,officesupplies.com,consumer-products,office-stationery,block consumer-products/office-stationery n=9 appraised=5 deficit=0
665,selfassessments.co.uk,selfassessments.com,business-services,accounting,block business-services/accounting n=9 appraised=3 deficit=0
666,vanitybag.co.uk,vanitybag.com,beauty-personal-care,cosmetics,block beauty-personal-care/cosmetics n=8 appraised=4 deficit=0
667,vanitybags.co.uk,vanitybags.com,beauty-personal-care,cosmetics,block beauty-personal-care/cosmetics n=8 appraised=4 deficit=0
668,luxuryretirementcommunities.co.uk,luxuryretirementcommunities.com,property,luxury,block property/luxury n=5 appraised=3 deficit=0
669,luxuryretirementliving.co.uk,luxuryretirementliving.com,property,luxury,block property/luxury n=5 appraised=3 deficit=0
670,stretchedlimos.co.uk,stretchedlimos.com,travel,car-hire,block travel/car-hire n=5 appraised=3 deficit=0
