domain,source_file,ns_class
bruisen.com,porkbun_domains_2026-09-02.csv,other
bug-finding.com,porkbun_domains_2026-09-02.csv,other
buildingsocietyrates.co.uk,nominet_domains_2026-09-03.csv,none
bulbous.co.uk,nominet_domains_2026-09-03.csv,none
bulkdiamonds.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
bulldozerlease.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
bunnies.co.uk,nominet_domains_2026-09-03.csv,none
business-audits.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
business-laptops.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
business-lenders.co.uk,nominet_domains_2026-09-03.csv,none
businessaiaudit.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
businessaiaudits.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
businessaudit.co.uk,nominet_domains_2026-09-03.csv,none
businessaudit.uk,nominet_domains_2026-09-03.csv,none
businessaudits.uk,nominet_domains_2026-09-03.csv,none
businesscarlease.co.uk,nominet_domains_2026-09-03.csv,none
businesschristmasgifts.co.uk,nominet_domains_2026-09-03.csv,none
businesschristmasgifts.uk,nominet_domains_2026-09-03.csv,none
businesscloudsoftware.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
businesscredithelp.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
businessfinances.uk,nominet_domains_2026-09-03.csv,none
businessgiftideas.co.uk,nominet_domains_2026-09-03.csv,none
businesshealthcare.co.uk,nominet_domains_2026-09-03.csv,none
businesshealthcare.uk,nominet_domains_2026-09-03.csv,none
businessinsurancequotation.co.uk,nominet_domains_2026-09-03.csv,none
businessinsurancequotation.uk,nominet_domains_2026-09-03.csv,none
businessleasing.co.uk,nominet_domains_2026-09-03.csv,none
businessloaneligibility.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
businessstrategy.uk,nominet_domains_2026-09-03.csv,none
businessvehicleleasing.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
businessventurecapital.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
buyaprivateisland.com,dynadot_domains_2026-09-02.csv,other
buybeaches.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
buycookers.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
buydarts.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
buygoldbullion.co.uk,nominet_domains_2026-09-03.csv,none
buygoldbullion.uk,nominet_domains_2026-09-03.csv,none
buylodges.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
buysellcastle.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
buysilverbullion.co.uk,nominet_domains_2026-09-03.csv,none
buysilverbullion.uk,nominet_domains_2026-09-03.csv,none
buysportskit.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
buyvehicleinsurance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
cabelolindo.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
cabinet-makers.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
cabinsforsale.co.uk,nominet_domains_2026-09-03.csv,none
cable-railing.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
cablecontainment.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
cablelooms.co.uk,nominet_domains_2026-09-03.csv,none
calculation.uk,nominet_domains_2026-09-03.csv,none
calculatormortgages.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
calculatorsformortgage.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
calendarsplanners.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
calipers.co.uk,nominet_domains_2026-09-03.csv,none
camperbeds.co.uk,nominet_domains_2026-09-03.csv,none
camperhuur.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
campervan-hire.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
campervanroofs.com,dynadot_domains_2026-09-02.csv,other
campervanwindows.co.uk,nominet_domains_2026-09-03.csv,none
campingandcaravanpark.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
campingequipment.co.uk,nominet_domains_2026-09-03.csv,none
campingpod.co.uk,nominet_domains_2026-09-03.csv,none
canadianforestry.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
capitalandinterest.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
capitalrepaymentmortgage.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
capitalrepaymentmortgages.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
car-jacks.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
car-phone-mount.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
car-phone-mounts.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
caravan-sites.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
caravanforhire.co.uk,nominet_domains_2026-09-03.csv,none
caravanpark.uk,nominet_domains_2026-09-03.csv,none
caravanparkhomes.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
caravanretreats.co.uk,nominet_domains_2026-09-03.csv,none
caravantowing.co.uk,nominet_domains_2026-09-03.csv,none
carbon-dioxide.co.uk,nominet_domains_2026-09-03.csv,none
carbon-road-bike.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
carbon-road-bikes.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
carbootfair.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
cargocontainers.co.uk,nominet_domains_2026-09-03.csv,none
carhireireland.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
carinsured.co.uk,nominet_domains_2026-09-03.csv,none
carpentryfirst.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
carpfisheries.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
